code,description,start_date,last_modified,notes
M24,Missing/incomplete/invalid number of doses per vial.,01/01/1997,02/28/2003,Modified 2/28/03
M25,"The information furnished does not substantiate the need for this level of service. If you believe the service should have been fully covered as billed, or if you did not know and could not reasonably have been expected to know that we would not pay for this level of service, or if you notified the patient in writing in advance that we would not pay for this level of service and he/she agreed in writing to pay, ask us to review your claim within 120 days of the date of this notice. If you do not request an appeal, we will, upon application from the patient, reimburse him/her for the amount you have collected from him/her in excess of any deductible and coinsurance amounts. We will recover the reimbursement from you as an overpayment.",01/01/1997,11/01/2010,"Modified 10/1/02, 6/30/03, 8/1/05, 11/5/07, 11/1/10"
M26,"The information furnished does not substantiate the need for this level of service. If you have collected any amount from the patient for this level of service/any amount that exceeds the limiting charge for the less extensive service, the law requires you to refund that amount to the patient within 30 days of receiving this notice.",01/01/1997,11/05/2007,"Modified 10/1/02, 6/30/03, 8/1/05, 11/5/07. Also refer to N356"
M28,This does not qualify for payment under Part B when Part A coverage is exhausted or not otherwise available.,01/01/1997,,
M29,Missing operative note/report.,01/01/1997,07/01/2008,"Modified 2/28/03, 7/1/2008"
M3,Equipment is the same or similar to equipment already being used.,01/01/1997,,
M30,Missing pathology report.,01/01/1997,08/01/2004,"Modified 8/1/04, 2/28/03"
M31,Missing radiology report.,01/01/1997,08/01/2004,"Modified 8/1/04, 2/28/03"
M36,This is the 11th rental month. We cannot pay for this until you indicate that the patient has been given the option of changing the rental to a purchase.,01/01/1997,,
M37,Not covered when the patient is under age 35.,01/01/1997,03/08/2011,Modified 3/8/11
M40,Claim must be assigned and must be filed by the practitioner's employer.,01/01/1997,,
M41,We do not pay for this as the patient has no legal obligation to pay for this.,01/01/1997,,
M42,The medical necessity form must be personally signed by the attending physician.,01/01/1997,,
M44,Missing/incomplete/invalid condition code.,01/01/1997,02/28/2003,Modified 2/28/03
M45,Missing/incomplete/invalid occurrence code(s).,01/01/1997,12/02/2004,Modified 12/2/04
M46,Missing/incomplete/invalid occurrence span code(s).,01/01/1997,12/02/2004,Modified 12/2/04
M47,"Missing/incomplete/invalid Payer Claim Control Number. Other terms exist for this element including, but not limited to, Internal Control Number (ICN), Claim Control Number (CCN), Document Control Number (DCN).",01/01/1997,07/01/2015,"Modified 2/28/03, 7/1/15"
M49,Missing/incomplete/invalid value code(s) or amount(s).,01/01/1997,02/28/2003,Modified 2/28/03
M5,"Monthly rental payments can continue until the earlier of the 15th month from the first rental month, or the month when the equipment is no longer needed.",01/01/1997,,
M50,Missing/incomplete/invalid revenue code(s).,01/01/1997,02/28/2003,Modified 2/28/03
M51,Missing/incomplete/invalid procedure code(s).,01/01/1997,12/02/2004,Modified 12/2/04
M52,Missing/incomplete/invalid 'from' date(s) of service.,01/01/1997,02/28/2003,Modified 2/28/03
M53,Missing/incomplete/invalid days or units of service.,01/01/1997,02/28/2003,Modified 2/28/03
M54,Missing/incomplete/invalid total charges.,01/01/1997,02/28/2003,Modified 2/28/03
M55,We do not pay for self-administered anti-emetic drugs that are not administered with a covered oral anti-cancer drug.,01/01/1997,,
M56,Missing/incomplete/invalid payer identifier.,01/01/1997,02/28/2003,Modified 2/28/03
M59,Missing/incomplete/invalid 'to' date(s) of service.,01/01/1997,02/28/2003,Modified 2/28/03
M60,Missing Certificate of Medical Necessity.,01/01/1997,08/01/2004,"Modified 8/1/04, 6/30/03"
M61,We cannot pay for this as the approval period for the FDA clinical trial has expired.,01/01/1997,,
M62,Missing/incomplete/invalid treatment authorization code.,01/01/1997,02/28/2003,Modified 2/28/03
M64,Missing/incomplete/invalid other diagnosis.,01/01/1997,02/28/2003,Modified 2/28/03
M65,One interpreting physician charge can be submitted per claim when a purchased diagnostic test is indicated. Please submit a separate claim for each interpreting physician.,01/01/1997,,
M66,Our records indicate that you billed diagnostic tests subject to price limitations and the procedure code submitted includes a professional component. Only the technical component is subject to price limitations. Please submit the technical and professional components of this service as separate line items.,01/01/1997,,
M67,Missing/incomplete/invalid other procedure code(s).,01/01/1997,12/02/2004,Modified 12/2/04
M69,Paid at the regular rate as you did not submit documentation to justify the modified procedure code.,01/01/1997,02/01/2004,Modified 2/1/04
M7,"No rental payments after the item is purchased, returned or after the total of issued rental payments equals the purchase price.",01/01/1997,11/01/2016,Modified 11/1/2016
M71,Total payment reduced due to overlap of tests billed.,01/01/1997,,
M73,The HPSA/Physician Scarcity bonus can only be paid on the professional component of this service. Rebill as separate professional and technical components.,01/01/1997,08/01/2004,Modified 8/1/04
M74,This service does not qualify for a HPSA/Physician Scarcity bonus payment.,01/01/1997,12/02/2004,Modified 12/2/04
M75,Multiple automated multichannel tests performed on the same day combined for payment.,01/01/1997,11/05/2007,Modified 11/5/07
M76,Missing/incomplete/invalid diagnosis or condition.,01/01/1997,02/28/2003,Modified 2/28/03
M77,Missing/incomplete/invalid/inappropriate place of service.,01/01/1997,03/14/2014,"Modified 2/28/03, 3/1/2014, 3/14/2014"
M79,Missing/incomplete/invalid charge.,01/01/1997,02/28/2003,Modified 2/28/03
M8,We do not accept blood gas tests results when the test was conducted by a medical supplier or taken while the patient is on oxygen.,01/01/1997,,
M80,Not covered when performed during the same session/date as a previously processed service for the patient.,01/01/1997,10/31/2002,Modified 10/31/02
M81,You are required to code to the highest level of specificity.,01/01/1997,02/01/2004,Modified 2/1/04
M82,Service is not covered when patient is under age 50.,01/01/1997,,
M83,Service is not covered unless the patient is classified as at high risk.,01/01/1997,,
M84,Medical code sets used must be the codes in effect at the time of service.,01/01/1997,03/14/2014,"Modified 2/1/04, 3/14/2014"
M85,Subjected to review of physician evaluation and management services.,01/01/1997,,
M86,Service denied because payment already made for same/similar procedure within set time frame.,01/01/1997,06/30/2003,Modified 6/30/03
M87,Claim/service(s) subjected to CFO-CAP prepayment review.,01/01/1997,,
M89,Not covered more than once under age 40.,01/01/1997,,
M90,Not covered more than once in a 12 month period.,01/01/1997,,
M91,Lab procedures with different CLIA certification numbers must be billed on separate claims.,01/01/1997,,
M93,Information supplied supports a break in therapy. A new capped rental period began with delivery of this equipment.,01/01/1997,,
M94,Information supplied does not support a break in therapy. A new capped rental period will not begin.,01/01/1997,,
M95,Services subjected to Home Health Initiative medical review/cost report audit.,01/01/1997,,
M96,"The technical component of a service furnished to an inpatient may only be billed by that inpatient facility. You must contact the inpatient facility for technical component reimbursement. If not already billed, you should bill us for the professional component only.",01/01/1997,,
M97,Not paid to practitioner when provided to patient in this place of service. Payment included in the reimbursement issued the facility.,01/01/1997,,
M99,Missing/incomplete/invalid Universal Product Number/Serial Number.,01/01/1997,02/28/2003,Modified 2/28/03
MA04,Secondary payment cannot be considered without the identity of or payment information from the primary payer. The information was either not reported or was illegible.,01/01/1997,,
MA100,Missing/incomplete/invalid date of current illness or symptoms.,01/01/1997,03/14/2014,"Modified 2/28/03, 3/30/05, 3/14/2014"
MA103,Hemophilia Add On.,01/01/1997,,
MA106,PIP (Periodic Interim Payment) claim.,01/01/1997,06/30/2003,Modified 6/30/03
MA107,Paper claim contains more than three separate data items in field 19.,01/01/1997,,
MA108,Paper claim contains more than one data item in field 23.,01/01/1997,,
MA109,Claim processed in accordance with ambulatory surgical guidelines.,01/01/1997,,
MA110,Missing/incomplete/invalid information on whether the diagnostic test(s) were performed by an outside entity or if no purchased tests are included on the claim.,01/01/1997,02/28/2003,Modified 2/28/03
MA111,Missing/incomplete/invalid purchase price of the test(s) and/or the performing laboratory's name and address.,01/01/1997,02/28/2003,Modified 2/28/03
MA112,Missing/incomplete/invalid group practice information.,01/01/1997,02/28/2003,Modified 2/28/03
MA113,"Incomplete/invalid taxpayer identification number (TIN) submitted by you per the Internal Revenue Service. Your claims cannot be processed without your correct TIN, and you may not bill the patient pending correction of your TIN. There are no appeal rights for unprocessable claims, but you may resubmit this claim after you have notified this office of your correct TIN.",01/01/1997,,
MA114,Missing/incomplete/invalid information on where the services were furnished.,01/01/1997,02/28/2003,Modified 2/28/03
MA115,"Missing/incomplete/invalid physical location (name and address, or PIN) where the service(s) were rendered in a Health Professional Shortage Area (HPSA).",01/01/1997,02/28/2003,Modified 2/28/03
MA116,Did not complete the statement 'Homebound' on the claim to validate whether laboratory services were performed at home or in an institution.,01/01/1997,,Reactivated 4/1/04
MA117,This claim has been assessed a $1.00 user fee.,01/01/1997,,
MA12,You have not established that you have the right under the law to bill for services furnished by the person(s) that furnished this (these) service(s).,01/01/1997,,
MA120,Missing/incomplete/invalid CLIA certification number.,01/01/1997,02/28/2003,Modified 2/28/03
MA121,Missing/incomplete/invalid x-ray date.,01/01/1997,12/02/2004,Modified 12/2/04
MA122,Missing/incomplete/invalid initial treatment date.,01/01/1997,12/02/2004,Modified 12/2/04
MA123,"Your center was not selected to participate in this study, therefore, we cannot pay for these services.",01/01/1997,,
MA125,"Per legislation governing this program, payment constitutes payment in full.",01/01/1997,,
MA126,Pancreas transplant not covered unless kidney transplant performed.,10/12/2001,,
MA128,Missing/incomplete/invalid FDA approval number.,10/12/2001,03/30/2005,"Modified 2/28/03, 3/30/05"
MA130,"Your claim contains incomplete and/or invalid information, and no appeal rights are afforded because the claim is unprocessable. Please submit a new claim with the complete/correct information.",10/12/2001,,
MA131,Physician already paid for services in conjunction with this demonstration claim. You must have the physician withdraw that claim and refund the payment before we can process your claim.,10/12/2001,,
MA132,Adjustment to the pre-demonstration rate.,10/12/2001,,
MA133,Claim overlaps inpatient stay. Rebill only those services rendered outside the inpatient stay.,10/12/2001,,
MA134,Missing/incomplete/invalid provider number of the facility where the patient resides.,10/12/2001,,
MA16,"The patient is covered by the Black Lung Program. Send this claim to the Department of Labor, Federal Black Lung Program, P.O. Box 828, Lanham-Seabrook MD 20703.",01/01/1997,,
MA17,We are the primary payer and have paid at the primary rate. You must contact the patient's other insurer to refund any excess it may have paid due to its erroneous primary payment.,01/01/1997,,
MA20,Skilled Nursing Facility (SNF) stay not covered when care is primarily related to the use of an urethral catheter for convenience or the control of incontinence.,01/01/1997,06/30/2003,Modified 6/30/03
MA21,SSA records indicate mismatch with name and sex.,01/01/1997,,
MA22,Payment of less than $1.00 suppressed.,01/01/1997,,
MA23,Demand bill approved as result of medical review.,01/01/1997,,
MA24,Christian Science Sanitarium/ Skilled Nursing Facility (SNF) bill in the same benefit period.,01/01/1997,06/30/2003,Modified 6/30/03
MA25,A patient may not elect to change a hospice provider more than once in a benefit period.,01/01/1997,,
MA27,Missing/incomplete/invalid entitlement number or name shown on the claim.,01/01/1997,02/28/2003,Modified 2/28/03
MA30,Missing/incomplete/invalid type of bill.,01/01/1997,02/28/2003,Modified 2/28/03
MA31,Missing/incomplete/invalid beginning and ending dates of the period billed.,01/01/1997,02/28/2003,Modified 2/28/03
MA32,Missing/incomplete/invalid number of covered days during the billing period.,01/01/1997,02/28/2003,Modified 2/28/03
MA33,Missing/incomplete/invalid non-covered days during the billing period.,01/01/1997,03/01/2022,"Modified 2/28/03, 3/1/2022"
MA34,Missing/incomplete/invalid number of coinsurance days during the billing period.,01/01/1997,02/28/2003,Modified 2/28/03
MA35,Missing/incomplete/invalid number of lifetime reserve days.,01/01/1997,02/28/2003,Modified 2/28/03
MA36,Missing/incomplete/invalid patient name.,01/01/1997,02/28/2003,Modified 2/28/03
MA37,Missing/incomplete/invalid patient's address.,01/01/1997,02/28/2003,Modified 2/28/03
MA39,Missing/incomplete/invalid gender.,01/01/1997,02/28/2003,Modified 2/28/03
MA40,Missing/incomplete/invalid admission date.,01/01/1997,02/28/2003,Modified 2/28/03
MA41,Missing/incomplete/invalid admission type.,01/01/1997,02/28/2003,Modified 2/28/03
MA42,Missing/incomplete/invalid admission source.,01/01/1997,02/28/2003,Modified 2/28/03
MA43,Missing/incomplete/invalid patient status.,01/01/1997,02/28/2003,Modified 2/28/03
MA47,"Our records show you have opted out of Medicare, agreeing with the patient not to bill Medicare for services/tests/supplies furnished. As result, we cannot pay this claim. The patient is responsible for payment.",01/01/1997,,
MA48,Missing/incomplete/invalid name or address of responsible party or primary payer.,01/01/1997,02/28/2003,Modified 2/28/03
MA50,Missing/incomplete/invalid Investigational Device Exemption number or Clinical Trial number.,01/01/1997,03/01/2014,"Modified 2/28/03, 3/1/2014"
MA53,Missing/incomplete/invalid Competitive Bidding Demonstration Project identification.,01/01/1997,02/01/2004,Modified 2/1/04
MA54,Physician certification or election consent for hospice care not received timely.,01/01/1997,,
MA55,"Not covered as patient received medical health care services, automatically revoking his/her election to receive religious non-medical health care services.",01/01/1997,,
MA56,"Our records show you have opted out of Medicare, agreeing with the patient not to bill Medicare for services/tests/supplies furnished. As result, we cannot pay this claim. The patient is responsible for payment, but under Federal law, you cannot charge the patient more than the limiting charge amount.",01/01/1997,,
MA57,Patient submitted written request to revoke his/her election for religious non-medical health care services.,01/01/1997,,
MA58,Missing/incomplete/invalid release of information indicator.,01/01/1997,02/28/2003,Modified 2/28/03
MA60,Missing/incomplete/invalid patient relationship to insured.,01/01/1997,02/28/2003,Modified 2/28/03
MA61,Missing/incomplete/invalid social security number.,01/01/1997,03/01/2018,"Modified 2/28/03, 3/1/2018"
MA63,Missing/incomplete/invalid principal diagnosis.,01/01/1997,02/28/2003,Modified 2/28/03
MA64,Our records indicate that we should be the third payer for this claim. We cannot process this claim until we have received payment information from the primary and secondary payers.,01/01/1997,,
MA65,Missing/incomplete/invalid admitting diagnosis.,01/01/1997,02/28/2003,Modified 2/28/03
MA66,Missing/incomplete/invalid principal procedure code.,01/01/1997,12/02/2004,Modified 12/2/04
MA69,Missing/incomplete/invalid remarks.,01/01/1997,02/28/2003,Modified 2/28/03
MA70,Missing/incomplete/invalid provider representative signature.,01/01/1997,02/28/2003,Modified 2/28/03
MA71,Missing/incomplete/invalid provider representative signature date.,01/01/1997,02/28/2003,Modified 2/28/03
MA73,Informational remittance associated with a Medicare demonstration. No payment issued under fee-for-service Medicare as patient has elected managed care.,01/01/1997,,
MA75,Missing/incomplete/invalid patient or authorized representative signature.,01/01/1997,02/28/2003,Modified 2/28/03
MA76,Missing/incomplete/invalid provider identifier for home health agency or hospice when physician is performing care plan oversight services.,01/01/1997,02/28/2003,"Modified 2/28/03, 2/1/04"
MA79,Billed in excess of interim rate.,01/01/1997,,
MA80,Informational notice. No payment issued for this claim with this notice. Payment issued to the hospital by its intermediary for all services for this encounter under a demonstration project.,01/01/1997,,
MA81,Missing/incomplete/invalid provider/supplier signature.,01/01/1997,02/28/2003,Modified 2/28/03
MA83,Did not indicate whether we are the primary or secondary payer.,01/01/1997,08/01/2005,Modified 8/1/05
MA84,"Patient identified as participating in the National Emphysema Treatment Trial but our records indicate that this patient is either not a participant, or has not yet been approved for this phase of the study. Contact Johns Hopkins University, the study coordinator, to resolve if there was a discrepancy.",01/01/1997,,
MA88,Missing/incomplete/invalid insured's address and/or telephone number for the primary payer.,01/01/1997,02/28/2003,Modified 2/28/03
MA89,Missing/incomplete/invalid patient's relationship to the insured for the primary payer.,01/01/1997,02/28/2003,Modified 2/28/03
MA90,Missing/incomplete/invalid employment status code for the primary insured.,01/01/1997,02/28/2003,Modified 2/28/03
MA92,Missing plan information for other insurance.,01/01/1997,02/01/2004,Modified 2/1/04
MA93,Non-PIP (Periodic Interim Payment) claim.,01/01/1997,06/30/2003,Modified 6/30/03
MA94,Did not enter the statement 'Attending physician not hospice employee' on the claim form to certify that the rendering physician is not an employee of the hospice.,01/01/1997,08/01/2005,"Reactivated 4/1/04, Modified 8/1/05"
MA96,Claim rejected. Coded as a Medicare Managed Care Demonstration but patient is not enrolled in a Medicare managed care plan.,01/01/1997,,
MA97,Missing/incomplete/invalid Medicare Managed Care Demonstration contract number or clinical trial registry number.,01/01/1997,02/29/2008,Modified 2/29/08
MA99,Missing/incomplete/invalid Medigap information.,01/01/1997,02/28/2003,Modified 2/28/03
N10,Adjustment based on the findings of a review organization/professional consult/manual adjudication/medical advisor/dental advisor/peer review.,01/01/2000,03/01/2015,"Modified 10/31/02, 7/1/08, 7/15/13, 3/1/2015"
N103,"Records indicate this patient was a prisoner or in custody of a Federal, State, or local authority when the service was rendered. This payer does not cover items and services furnished to an individual while he or she is in custody under a penal statute or rule, unless under State or local law, the individual is personally liable for the cost of his or her health care while in custody and the State or local government pursues the collection of such debt in the same way and with the same vigor as the collection of its other debts. The provider can collect from the Federal/State/ Local Authority as appropriate.",10/31/2001,11/01/2013,"Modified 6/30/03, 7/1/12, 11/1/13"
N104,This claim/service is not payable under our claims jurisdiction area. You can identify the correct Medicare contractor to process this claim/service through the CMS website at www.cms.gov.,01/29/2002,07/01/2010,"Modified 10/31/02, 7/1/10"
N105,"This is a misdirected claim/service for an RRB beneficiary. Submit paper claims to the RRB carrier: Palmetto GBA, P.O. Box 10066, Augusta, GA 30999. Call 888-355-9165 for RRB EDI information for electronic claims processing.",01/29/2002,07/01/2017,Modified 7/1/2017
N106,Payment for services furnished to Skilled Nursing Facility (SNF) inpatients (except for excluded services) can only be made to the SNF. You must request payment from the SNF rather than the patient for this service.,01/31/2002,,
N107,Services furnished to Skilled Nursing Facility (SNF) inpatients must be billed on the inpatient claim. They cannot be billed separately as outpatient services.,01/31/2002,,
N108,Missing/incomplete/invalid upgrade information.,01/31/2002,02/28/2003,Modified 2/28/03
N11,Denial reversed because of medical review.,01/01/2000,,
N110,This facility is not certified for film mammography.,02/28/2002,,
N111,No appeal right except duplicate claim/service issue. This service was included in a claim that has been previously billed and adjudicated.,02/28/2002,,
N112,This claim is excluded from your electronic remittance advice.,02/28/2002,,
N113,"Only one initial visit is covered per physician, group practice or provider.",04/16/2002,06/30/2003,Modified 6/30/03
N114,"During the transition to the Ambulance Fee Schedule, payment is based on the lesser of a blended amount calculated using a percentage of the reasonable charge/cost and fee schedule amounts, or the submitted charge for the service. You will be notified yearly what the percentages for the blended payment calculation will be.",05/30/2002,,
N115,"This decision was based on a Local Coverage Determination (LCD). An LCD provides a guide to assist in determining whether a particular item or service is covered. A copy of this policy is available at www.cms.gov/mcd, or if you do not have web access, you may contact the contractor to request a copy of the LCD.",05/30/2002,07/01/2010,"Modified 4/1/04, 7/1/10"
N117,This service is paid only once in a patient's lifetime.,07/30/2002,06/30/2003,Modified 6/30/03
N118,This service is not paid if billed more than once every 28 days.,07/30/2002,,
N119,"This service is not paid if billed once every 28 days, and the patient has spent 5 or more consecutive days in any inpatient or Skilled /nursing Facility (SNF) within those 28 days.",07/30/2002,06/30/2003,Modified 6/30/03
N12,"Policy provides coverage supplemental to Medicare. As the member does not appear to be enrolled in the applicable part of Medicare, the member is responsible for payment of the portion of the charge that would have been covered by Medicare.",01/01/2000,08/01/2007,Modified 8/1/07
N120,Payment is subject to home health prospective payment system partial episode payment adjustment. Patient was transferred/discharged/readmitted during payment episode.,08/09/2002,06/30/2003,Modified 6/30/03
N121,Medicare Part B does not pay for items or services provided by this type of practitioner for beneficiaries in a Medicare Part A covered Skilled Nursing Facility (SNF) stay.,09/09/2002,08/01/2004,"Modified 8/1/04, 6/30/03"
N122,Add-on code cannot be billed by itself.,09/12/2002,08/01/2005,Modified 8/1/05
N124,"Payment has been denied for the/made only for a less extensive service/item because the information furnished does not substantiate the need for the (more extensive) service/item. The patient is liable for the charges for this service/item as you informed the patient in writing before the service/item was furnished that we would not pay for it, and the patient agreed to pay.",09/26/2002,,
N125,"Payment has been (denied for the/made only for a less extensive) service/item because the information furnished does not substantiate the need for the (more extensive) service/item. If you have collected any amount from the patient, you must refund that amount to the patient within 30 days of receiving this notice.",09/26/2002,08/01/2005,Modified 8/1/05. Also refer to N356
N126,Social Security Records indicate that this individual has been deported. This payer does not cover items and services furnished to individuals who have been deported.,10/17/2002,,
N127,This is a misdirected claim/service for a United Mine Workers of America (UMWA) beneficiary. Please submit claims to them.,10/31/2007,08/01/2004,
N128,This amount represents the prior to coverage portion of the allowance.,10/31/2002,,
N129,Not eligible due to the patient's age.,10/31/2002,08/01/2007,Modified 8/1/07
N13,Payment based on professional/technical component modifier(s).,01/01/2000,,
N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,10/31/2002,11/01/2009,"Modified 4/1/07, 7/1/08, 11/1/09"
N131,Total payments under multiple contracts cannot exceed the allowance for this service.,10/31/2002,,
N135,Record fees are the patient's responsibility and limited to the specified co-payment.,10/31/2002,,
N141,The patient was not residing in a long-term care facility during all or part of the service dates billed.,10/31/2002,,
N142,"The original claim was denied. Resubmit a new claim, not a replacement claim.",10/31/2002,,
N143,The patient was not in a hospice program during all or part of the service dates billed.,10/31/2002,,
N144,The rate changed during the dates of service billed.,10/31/2002,,
N146,Missing screening document.,10/31/2002,08/01/2004,Modified 8/1/04
N147,"Long term care case mix or per diem rate cannot be determined because the patient ID number is missing, incomplete, or invalid on the assignment request.",10/31/2002,,
N148,Missing/incomplete/invalid date of last menstrual period.,10/31/2002,,
N149,Rebill all applicable services on a single claim.,10/31/2002,,
N15,Services for a newborn must be billed separately.,01/01/2000,,
N150,Missing/incomplete/invalid model number.,10/31/2002,,
N151,Telephone contact services will not be paid until the face-to-face contact requirement has been met.,10/31/2002,,
N152,Missing/incomplete/invalid replacement claim information.,10/31/2002,,
N153,Missing/incomplete/invalid room and board rate.,10/31/2002,,
N157,Transportation to/from this destination is not covered.,02/28/2003,02/01/2004,Modified 2/1/04
N158,Transportation in a vehicle other than an ambulance is not covered.,02/28/2003,,
N159,Payment denied/reduced because mileage is not covered when the patient is not in the ambulance.,02/28/2003,,
N16,Family/member Out-of-Pocket maximum has been met. Payment based on a higher percentage.,01/01/2000,,
N160,The patient must choose an option before a payment can be made for this procedure/ equipment/ supply/ service.,02/28/2003,02/01/2004,Modified 2/1/04
N161,This drug/service/supply is covered only when the associated service is covered.,02/28/2003,,
N163,Medical record does not support code billed per the code definition.,02/28/2003,,
N167,Charges exceed the post-transplant coverage limit.,02/28/2003,,
N170,A new/revised/renewed certificate of medical necessity is needed.,02/28/2003,,
N171,Payment for repair or replacement is not covered or has exceeded the purchase price.,02/28/2003,,
N172,The patient is not liable for the denied/adjusted charge(s) for receiving any updated service/item.,02/28/2003,,
N173,No qualifying hospital stay dates were provided for this episode of care.,02/28/2003,,
N174,"This is not a covered service/procedure/ equipment/bed, however patient liability is limited to amounts shown in the adjustments under group 'PR'.",02/28/2003,,
N175,Missing review organization approval.,02/28/2003,02/29/2008,"Modified 8/1/04, 2/29/08"
