text,label_id,label,display_name,source_type,text_length,word_count
Patient ineligible for this procedure.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,38,5
Payer response: Primary insurance payment details are needed before processing. Validate supporting information before appeal. action: route to denial prevention team. [audit reference REF000305],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,195,24
"Payer response: Health plan system returned a general processing denial. Validate supporting information before appeal. (clm ID CLM000067) action: route to denial prevention team. No duplicate was confirmed during intake, but adjudication notes still require review. [review reference REF000067]",9,other,Other Administrative,synthetic_rarc_style,295,39
Paid at the regular rate as you did not submit documentation to justify the modified procedure code.,8,documentation,Documentation,official_rarc,100,17
We do not offer coverage for this type of encounter or the subscriber is not enrolled in this portion of our benefit package.,0,eligibility,Eligibility / Coverage,official_rarc,125,23
"Claim review note: Payer policy does not support necessity based on submitted diagnosis; Validate supporting information before appeal; Documentation may be available, but the record should be confirmed. [claim reference REF000056]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,231,31
Remark: Service is bundled into another payable procedure. Please review before resubmission. (payer edit EDT-233) [prebill reference REF000095],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,144,18
Subscriber ineligible for this encounter.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,41,5
Payer response: Medical records are required to support this claim; Correct and resubmit if appropriate; (DOS 2023-10-17) [prebill reference REF000578],8,documentation,Documentation,synthetic_rarc_style,151,20
Statutorily excluded treatment(s).,0,eligibility,Eligibility / Coverage,official_rarc,34,3
Remark: Claim requires updated other-insurance information. Validate supporting information before appeal. (payer edit EDT-407) [claim reference REF000257],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,155,17
payer response: the submitted procedure duplicates another claim in carrier records. validate supporting information before appeal. (review batch B327) [case reference REF000053],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,178,22
Payer response: Payer requested additional review before final adjudication. Additional follow-up is required. (claim ID CLM000265) action: route to denial prevention team. [case reference REF000265],9,other,Other Administrative,synthetic_rarc_style,199,25
Claim review note: Secondary payer cannot process without primary payer adjudication. Additional follow-up is required. (review batch B143) [prebill reference REF000147],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,169,21
Adjudication message: Patient was not enrolled in the plan on the treatment date. Additional follow-up is required. (claim line 12) action: verify before resubmission. [audit reference REF000173],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,195,27
remark: required attachment was not included with the claim. please review before resubmission. (claim line 6) [claim reference REF000639],8,documentation,Documentation,synthetic_rarc_style,138,19
Denial reason: Clinical notes are insufficient to validate the service. Validate supporting information before appeal. (payer edit EDT-435) workqueue: pre-bill review. [claim reference REF000374],8,documentation,Documentation,synthetic_rarc_style,195,24
Denial reason: Documentation does not support the billed procedure details. Validate supporting information before appeal. (claim line 10) [audit reference REF000389],8,documentation,Documentation,synthetic_rarc_style,166,21
"Claim review note: Modifier is missing or inconsistent with the billed procedure. Additional follow-up is required. (claim ID CLM000109) No duplicate was confirmed during intake, but adjudication notes still require review. [review reference REF000109]",1,coding_error,Coding Error,synthetic_rarc_style,252,34
Provider W9 or Payee Registration not on file.,9,other,Other Administrative,official_rarc,46,8
"Adjudication message: Plan records show the member was not eligible for benefits. (claim ID CLM000117) The service may be covered, but another denial condition should be reviewed. [claim reference REF000117]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,207,30
Not covered when performed during the same session/date as a previously processed procedure for the patient.,3,duplicate_claim,Duplicate Claim,official_rarc,108,16
Claim review note: Coverage terminated before the submitted service was performed. Route to the responsible RCM workqueue. (claim ID CLM000042) status: analyst review recommended. [case reference REF000042],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,206,27
Remark: Coordination of benefits information is missing or outdated. Correct and resubmit if appropriate. (review batch B599) action: confirm payer rule. [review reference REF000176],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,182,24
Claim review note: Referral was required before the service could be covered. Additional follow-up is required. action: confirm payer rule. [claim reference REF000016],2,authorization,Authorization / Referral,synthetic_rarc_style,167,23
Claim payment was the result of a insurer's retroactive adjustment due to a Coordination of Benefits or Third Party Liability Recovery.,7,coordination_of_benefits,Coordination of Benefits,official_rarc,135,21
Payer response: A matching claim has already been paid. Correct and resubmit if appropriate. [claim reference REF000177],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,120,17
Payer response: Procedure and diagnosis coding are inconsistent; Please review before resubmission; (encounter ENC29978) action: confirm payer rule. [audit reference REF000056],1,coding_error,Coding Error,synthetic_rarc_style,176,21
The billed procedure is considered non-covered for this plan; Route to the responsible RCM workqueue; status: analyst review recommended. [case reference REF000284],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,164,22
The plan does not cover this item in the submitted setting; Correct and resubmit if appropriate; [prebill reference REF000398],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,126,19
Statutorily excluded claim line(s).,0,eligibility,Eligibility / Coverage,official_rarc,35,4
"Payer received the claim after the contractual deadline. (claim line 9) Other insurance information may be current, but payer sequencing should be checked. [case reference REF000211]",5,timely_filing,Timely Filing,synthetic_rarc_style,182,26
Remark: Benefits must be coordinated with the patient's primary carrier. Correct and resubmit if appropriate. (DOS 2023-12-05) status: analyst review recommended. [prebill reference REF000026],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,192,24
"Denial reason: Procedure lacks clinical indication under payer guidelines. Correct and resubmit if appropriate. (encounter ENC72970) action: confirm payer rule. The service may be covered, but another denial condition should be reviewed. [prebill reference REF000022]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,267,35
Payer response: Payer records show this service was already adjudicated; [review reference REF000171],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,101,13
Not covered when performed during the same session/date as a previously processed claim line for the member.,3,duplicate_claim,Duplicate Claim,official_rarc,108,17
"Claim review note: Documentation does not support the billed procedure details. Validate supporting information before appeal. (claim ID CLM000474) status: analyst review recommended. Documentation may be available, but the record should be confirmed. [case reference REF000474]",8,documentation,Documentation,synthetic_rarc_style,278,36
"Benefits must be coordinated with the patient's primary carrier. Additional follow-up is required. action: confirm payer rule. No duplicate was confirmed during intake, but adjudication notes still require review. [prebill reference REF000169]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,243,32
adjudication message: corrected claim was submitted outside the allowed window. correct and resubmit if appropriate. (payer edit EDT-894) action: verify before resubmission. [audit reference REF000061],5,timely_filing,Timely Filing,synthetic_rarc_style,201,25
Denial reason: Documentation does not support the billed procedure details. Please review before resubmission. (payer edit EDT-775) action: confirm payer rule. [prebill reference REF000266],8,documentation,Documentation,synthetic_rarc_style,189,24
Additional documentation is needed before claim review can continue. Route to the responsible RCM workqueue. (claim ID CLM000583) [review reference REF000583],8,documentation,Documentation,synthetic_rarc_style,158,21
"Payer response: Health plan records do not show auth for this claim. (claim line 6) action: confirm payer rule. Coding was reviewed, but payer edits may still require follow-up. [review reference REF000123]",2,authorization,Authorization / Referral,synthetic_rarc_style,206,32
We do not offer coverage for this type of service or the beneficiary is not enrolled in this portion of our benefit package.,0,eligibility,Eligibility / Coverage,official_rarc,124,23
Remark: The approved authorization does not match the billed procedure. Please review before resubmission. [prebill reference REF000268],2,authorization,Authorization / Referral,synthetic_rarc_style,136,17
Other coverage information conflicts with payer records. Additional follow-up is required. action: attach support if available. [case reference REF000393],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,154,19
Claim review note: Insurer requested additional review before final adjudication. Route to the responsible RCM workqueue. (claim line 1) [review reference REF000400],9,other,Other Administrative,synthetic_rarc_style,165,22
Missing/incomplete/invalid child medical evaluation form/checklist.,8,documentation,Documentation,official_rarc,67,5
Adjudication message: A matching claim has already been paid; Please review before resubmission; (review batch B561) [case reference REF000257],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,143,19
"Denial reason: Another carrier is primary and must process the claim first. (payer edit EDT-223) Coverage appears active, but another payer rule may still apply. [prebill reference REF000152]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,191,28
Remark: Benefit limitations do not allow payment for this encounter. Additional follow-up is required. workqueue: pre-bill review. [audit reference REF000313],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,158,20
"Remark: Other coverage information conflicts with payer records. Correct and resubmit if appropriate. (claim ID CLM000180) Other insurance information may be current, but payer sequencing should be checked. [claim reference REF000180]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,234,31
"The information furnished does not substantiate the need for this level of claim line. If you have collected any amount from the patient for this level of claim line/any amount that exceeds the limiting charge for the less extensive claim line, the law requires you to refund that amount to the patient within 30 days of receiving this notice.",6,medical_necessity,Medical Necessity,official_rarc,343,59
"Payer response: Medical records are required to support this clm. Correct and resubmit if appropriate. (encounter ENC87212) action: verify before resubmission. No duplicate was confirmed during intake, but adjudication notes still require review. [review reference REF000509]",8,documentation,Documentation,synthetic_rarc_style,275,36
Adjudication message: Encounter was already billed for the same patient and date. Route to the responsible RCM workqueue. (payer edit EDT-723) [case reference REF000214],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,169,24
Payer requested records were not received. Validate supporting information before appeal. (payer edit EDT-889) action: verify before resubmission. [case reference REF000200],8,documentation,Documentation,synthetic_rarc_style,173,21
"Adjudication message: Claim was received after the timely filing deadline; Validate supporting information before appeal; (payer edit EDT-263) Documentation may be available, but the record should be confirmed. [prebill reference REF000096]",5,timely_filing,Timely Filing,synthetic_rarc_style,240,31
"Coding edit indicates the billed svc conflicts with payer rules; Please review before resubmission; (DOS 2023-06-13) Eligibility was checked separately, but the line still needs review. [review reference REF000428]",1,coding_error,Coding Error,synthetic_rarc_style,214,29
Coverage was suspended when the treatment was rendered. Route to the responsible RCM workqueue. (encounter ENC74478) action: confirm payer rule. [claim reference REF000202],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,172,23
"Denial reason: Pre-certification was not obtained before treatment. Route to the responsible RCM workqueue. (claim ID CLM000247) Eligibility was checked separately, but the line still needs review. [prebill reference REF000247]",2,authorization,Authorization / Referral,synthetic_rarc_style,227,30
Denial reason: Other coverage information conflicts with health plan records. (encounter ENC78089) action: confirm payer rule. [claim reference REF000327],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,154,19
Claim review note: Claim contains a code combination that requires correction. [case reference REF000374],1,coding_error,Coding Error,synthetic_rarc_style,105,14
"Remark: Claim format issue requires correction before payment. Please review before resubmission. (review batch B332) Coding was reviewed, but payer edits may still require follow-up. [audit reference REF000470]",9,other,Other Administrative,synthetic_rarc_style,211,28
adjudication message: claim contains a code combination that requires correction. route to the responsible rcm workqueue. [audit reference REF000424],1,coding_error,Coding Error,synthetic_rarc_style,149,19
Medical records are required to support this claim; Route to the responsible RCM workqueue; (review batch B972) [case reference REF000651],8,documentation,Documentation,synthetic_rarc_style,138,20
"Service is not considered medically necessary for the reported condition. Correct and resubmit if appropriate. (encounter ENC67277) status: analyst review recommended. Medical necessity support may exist, but the claim needs final analyst review. [case reference REF000160]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,273,36
Denial reason: Medicare secondary carrier information is required. (claim ID CLM000323) action: attach support if available. [claim reference REF000323],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,152,19
Billing information could not be validated by payer. Correct and resubmit if appropriate. (DOS 2023-12-26) action: attach support if available. [review reference REF000503],9,other,Other Administrative,synthetic_rarc_style,172,23
This does not qualify for payment under Part B when Part A coverage is exhausted or not otherwise available.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,108,19
"Payer response: Claim format issue requires correction before payment. (claim ID CLM000508) The service may be covered, but another denial condition should be reviewed. [prebill reference REF000508]",9,other,Other Administrative,synthetic_rarc_style,198,27
Claim review note: Documentation does not support the billed procedure details. Correct and resubmit if appropriate. (claim line 6) [prebill reference REF000345],8,documentation,Documentation,synthetic_rarc_style,161,22
Secondary payment cannot be considered without the identity of or payment information from the primary Medicare contractor. The information was either not reported or was illegible.,7,coordination_of_benefits,Coordination of Benefits,official_rarc,181,26
"Payer response: Subscriber ID does not match active health plan records. Correct and resubmit if appropriate. (DOS 2023-01-24) Documentation may be available, but the record should be confirmed. [review reference REF000068]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,223,31
Payer response: Required attachment was not included with the claim. Please review before resubmission. (DOS 2023-12-16) [audit reference REF000001],8,documentation,Documentation,synthetic_rarc_style,148,19
CLAIM REVIEW NOTE: PROCEDURE AND DIAGNOSIS CODING ARE INCONSISTENT. ADDITIONAL FOLLOW-UP IS REQUIRED. (claim ID CLM000022) [case reference REF000022],1,coding_error,Coding Error,synthetic_rarc_style,149,19
Adjudication message: Submitted documentation is incomplete for the billed svc. Correct and resubmit if appropriate. (DOS 2023-10-04) action: route to denial prevention team. [claim reference REF000444],8,documentation,Documentation,synthetic_rarc_style,202,26
Claim review note: Administrative issue prevented claim adjudication. Route to the responsible RCM workqueue. (payer edit EDT-959) workqueue: pre-bill review. [claim reference REF000210],9,other,Other Administrative,synthetic_rarc_style,186,23
Claim review note: Authorization number is invalid for this service. Route to the responsible RCM workqueue. (encounter ENC50781) action: attach support if available. [review reference REF000120],2,authorization,Authorization / Referral,synthetic_rarc_style,195,26
Adjudication message: Operative note or clinical report is missing. Validate supporting information before appeal. (payer edit EDT-429) [case reference REF000411],8,documentation,Documentation,synthetic_rarc_style,162,20
Missing documentation.,8,documentation,Documentation,official_rarc,22,2
"Proof of timely filing is required for review. Please review before resubmission. (claim ID CLM000205) Medical necessity support may exist, but the claim needs final analyst review. [prebill reference REF000205]",5,timely_filing,Timely Filing,synthetic_rarc_style,211,30
Remark: Payer requested records were not received. (claim ID CLM000380) [review reference REF000380],8,documentation,Documentation,synthetic_rarc_style,100,13
Adjudication message: Referral information is missing or incomplete. Please review before resubmission. (review batch B137) action: attach support if available. [audit reference REF000209],2,authorization,Authorization / Referral,synthetic_rarc_style,188,23
clm REVIEW NOTE: SUBSCRIBER ID DOES NOT MATCH ACTIVE PAYER RECORDS. (review batch B160) workqueue: pre-bill review. [case reference REF000006],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,142,20
Consult plan benefit documents/guidelines for information about restrictions for this service.,9,other,Other Administrative,official_rarc,94,11
Modifier is missing or inconsistent with the billed service; action: confirm payer rule. [prebill reference REF000087],1,coding_error,Coding Error,synthetic_rarc_style,118,16
Provider/supplier not accredited for product/procedure.,9,other,Other Administrative,official_rarc,55,5
Claim review note: The plan does not cover this item in the submitted setting. Please review before resubmission. (payer edit EDT-345) workqueue: pre-bill review. [review reference REF000440],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,191,27
"Payer response: Late submission prevents payment under plan rules; Additional follow-up is required; (review batch B414) status: analyst review recommended. Documentation may be available, but the record should be confirmed. [audit reference REF000224]",5,timely_filing,Timely Filing,synthetic_rarc_style,252,33
Coverage terminated before the submitted service was performed. Please review before resubmission. [audit reference REF000170],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,126,15
"Payer response: Claim filing period expired before payer receipt. Additional follow-up is required. Eligibility was checked separately, but the line still needs review. [claim reference REF000054]",5,timely_filing,Timely Filing,synthetic_rarc_style,196,26
"Payer response: Submitted CPT code is not valid for the provider specialty. Correct and resubmit if appropriate. (payer edit EDT-449) action: attach support if available. Authorization details may be present, but the claim still needs validation. [claim reference REF000074]",1,coding_error,Coding Error,synthetic_rarc_style,274,39
Procedure and diagnosis coding are inconsistent. Please review before resubmission. (review batch B405) action: verify before resubmission. [prebill reference REF000071],1,coding_error,Coding Error,synthetic_rarc_style,169,20
Remark: Payer policy identifies the treatment as investigational or excluded. Route to the responsible RCM workqueue. [prebill reference REF000064],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,147,19
Authorization number is invalid for this service. Correct and resubmit if appropriate. (claim ID CLM000134) workqueue: pre-bill review. [claim reference REF000134],2,authorization,Authorization / Referral,synthetic_rarc_style,163,21
Crossover claim denied by previous carrier and complete claim data not forwarded. Resubmit this claim to this carrier to provide adequate data for adjudication.,7,coordination_of_benefits,Coordination of Benefits,official_rarc,160,24
"Claim review note: Payer order could not be determined from submitted information. Validate supporting information before appeal. auth details may be present, but the claim still needs validation. [claim reference REF000241]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,224,31
Payer response: The encounter is not a payable benefit for this member; Route to the responsible RCM workqueue; (claim line 5) action: route to denial prevention team. [prebill reference REF000332],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,197,30
Adjudication message: Appeal or reconsideration request was not filed timely. Please review before resubmission. [audit reference REF000109],5,timely_filing,Timely Filing,synthetic_rarc_style,140,17
Denial reason: The encounter exceeded the authorized number of visits; Validate supporting information before appeal; (review batch B591) [prebill reference REF000162],2,authorization,Authorization / Referral,synthetic_rarc_style,167,21
Medical code sets used must be the codes in effect at the time of claim line.,1,coding_error,Coding Error,official_rarc,77,16
Missing claimant medical record for this procedure.,8,documentation,Documentation,official_rarc,51,7
Payer response: Unclassified denial reason requires analyst review. Validate supporting information before appeal. (payer edit EDT-285) action: verify before resubmission. [case reference REF000509],9,other,Other Administrative,synthetic_rarc_style,198,23
We do not offer coverage for this type of treatment or the claimant is not enrolled in this portion of our benefit package.,0,eligibility,Eligibility / Coverage,official_rarc,123,23
"Remark: Claim line requires corrected coding before processing. (payer edit EDT-894) action: confirm payer rule. Coverage appears active, but another payer rule may still apply. [prebill reference REF000252]",1,coding_error,Coding Error,synthetic_rarc_style,207,28
Denial reason: Required attachment was not included with the claim. Route to the responsible RCM workqueue. (review batch B557) [case reference REF000227],8,documentation,Documentation,synthetic_rarc_style,154,22
"Claim review note: Service was already billed for the same patient and date. Filing date appears within the normal workflow, but the payer response remains unresolved. [prebill reference REF000210]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,197,29
DENIAL REASON: INSURER RECORDS SHOW THIS SERVICE WAS ALREADY ADJUDICATED; VALIDATE SUPPORTING INFORMATION BEFORE APPEAL; (claim line 10) [audit reference REF000251],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,164,21
Incomplete/invalid progress notes/report.,8,documentation,Documentation,official_rarc,41,3
"Denial reason: Claim filing period expired before payer receipt. Please review before resubmission. (claim ID CLM000173) Other insurance information may be current, but payer sequencing should be checked. [prebill reference REF000173]",5,timely_filing,Timely Filing,synthetic_rarc_style,234,31
Claim review note: The claim was not submitted within the required timeframe; Please review before resubmission; (claim ID CLM000226) [review reference REF000226],5,timely_filing,Timely Filing,synthetic_rarc_style,162,22
"Adjudication message: Diagnosis submitted does not meet payer medical necessity criteria. Correct and resubmit if appropriate. Coverage appears active, but another payer rule may still apply. [audit reference REF000058]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,219,29
"Claim review note: Coverage terminated before the submitted service was performed. Correct and resubmit if appropriate. (claim line 12) The service may be covered, but another denial condition should be reviewed. [claim reference REF000120]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,240,34
Remark: Secondary Medicare contractor cannot process without primary Medicare contractor adjudication. Correct and resubmit if appropriate. (claim line 1) action: attach support if available. [case reference REF000337],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,218,27
"Claim review note: Diagnosis submitted does not meet health plan medical necessity criteria. Validate supporting information before appeal. (DOS 2023-04-04) Documentation may be available, but the record should be confirmed. [case reference REF000027]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,251,33
Claim review note: Required attachment was not included with the claim. Route to the responsible RCM workqueue. (DOS 2023-06-23) action: route to denial prevention team. [case reference REF000208],8,documentation,Documentation,synthetic_rarc_style,196,28
Claim review note: Unclassified denial reason requires analyst review. Route to the responsible RCM workqueue. [audit reference REF000386],9,other,Other Administrative,synthetic_rarc_style,138,18
"Claim review note: Coding edit indicates the billed service conflicts with insurer rules; Please review before resubmission; (claim ID CLM000046) Filing date appears within the normal workflow, but the payer response remains unresolved. [case reference REF000046]",1,coding_error,Coding Error,synthetic_rarc_style,263,36
remark: authorization expired before the date of service. route to the responsible rcm workqueue. (claim line 2) [claim reference REF000222],2,authorization,Authorization / Referral,synthetic_rarc_style,140,20
Denial reason: Submission did not meet payer processing requirements. Route to the responsible RCM workqueue. action: route to denial prevention team. [prebill reference REF000098],9,other,Other Administrative,synthetic_rarc_style,180,24
Incomplete/invalid documentation.,8,documentation,Documentation,official_rarc,33,2
Payer response: Patient was not enrolled in the plan on the procedure date. Validate supporting information before appeal. action: confirm payer rule. [claim reference REF000235],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,178,25
Claim review note: Coverage was suspended when the service was rendered. Please review before resubmission. (DOS 2023-05-12) [review reference REF000037],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,153,20
Secondary payment cannot be considered without the identity of or payment information from the primary insurer. The information was either not reported or was illegible.,7,coordination_of_benefits,Coordination of Benefits,official_rarc,169,25
No appeal right except duplicate claim/treatment issue. This treatment was included in a claim that has been previously billed and adjudicated.,3,duplicate_claim,Duplicate Claim,official_rarc,143,21
"claim review note: additional documentation is needed before claim review can continue. validate supporting information before appeal. (claim ID CLM000498) Authorization details may be present, but the claim still needs validation. [case reference REF000498]",8,documentation,Documentation,synthetic_rarc_style,258,34
Denial reason: Authorization expired before the date of service. Additional follow-up is required. (claim ID CLM000107) action: verify before resubmission. [review reference REF000107],2,authorization,Authorization / Referral,synthetic_rarc_style,184,23
Remark: Service is bundled into another payable procedure. Route to the responsible RCM workqueue. (payer edit EDT-724) action: attach support if available. [claim reference REF000113],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,184,25
Claimant was not enrolled in the plan on the service date. action: verify before resubmission. [review reference REF000007],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,123,18
Not covered when performed during the same session/date as a previously processed procedure for the beneficiary.,3,duplicate_claim,Duplicate Claim,official_rarc,112,16
claim denied because the benefit category does not cover this service; additional follow-up is required; (DOS 2023-12-22) [review reference REF000409],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,150,20
Service is not covered when subscriber is under age 45.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,55,10
Benefits must be coordinated with the subscriber's primary carrier. Route to the responsible RCM workqueue. [review reference REF000253],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,136,18
Invalid combination of HCPCS modifiers.,1,coding_error,Coding Error,official_rarc,39,5
"ADJUDICATION MESSAGE: ADDITIONAL DOCUMENTATION IS NEEDED BEFORE CLAIM REVIEW CAN CONTINUE. CORRECT AND RESUBMIT IF APPROPRIATE. action: route to denial prevention team. Authorization details may be present, but the claim still needs validation. [audit reference REF000203]",8,documentation,Documentation,synthetic_rarc_style,272,36
The service is not a payable benefit for this claimant. [case reference REF000104],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,82,13
Denial reason: The plan does not cover this item in the submitted setting. Additional follow-up is required. (claim ID CLM000190) action: verify before resubmission. [prebill reference REF000190],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,195,27
Adjudication message: Medical records are required to support this claim. Please review before resubmission. action: verify before resubmission. [review reference REF000844],8,documentation,Documentation,synthetic_rarc_style,173,21
"Denial reason: Administrative issue prevented claim adjudication. Correct and resubmit if appropriate. (claim line 5) No duplicate was confirmed during intake, but adjudication notes still require review. [audit reference REF000107]",9,other,Other Administrative,synthetic_rarc_style,232,30
Claim review note: Primary insurance payment details are needed before processing. Additional follow-up is required. [review reference REF000286],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,145,18
Remark: This clm appears to duplicate a previously submitted claim. Validate supporting information before appeal. (payer edit EDT-858) action: route to denial prevention team. [prebill reference REF000025],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,206,27
Missing pathology report.,8,documentation,Documentation,official_rarc,25,3
Patient ineligible for this treatment.,0,eligibility,Eligibility / Coverage,official_rarc,38,5
Submission of the claim for the claim line rendered is the responsibility of the Contracted Medical Group or Hospital.,9,other,Other Administrative,official_rarc,118,19
Denial reason: The HCPCS code requires a more specific billing modifier. Route to the responsible RCM workqueue. (encounter ENC74517) [review reference REF000347],1,coding_error,Coding Error,synthetic_rarc_style,162,22
"payer response: the billed service is considered non-covered for this plan; validate supporting information before appeal; (DOS 2023-05-08) status: analyst review recommended. Documentation may be available, but the record should be confirmed. [audit reference REF000355]",4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,271,35
Denial reason: Repeat billing detected for the same procedure. Route to the responsible RCM workqueue. [prebill reference REF000166],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,132,18
Adjudication message: Payer records do not show authorization for this claim; Additional follow-up is required; (payer edit EDT-371) workqueue: pre-bill review. [review reference REF000309],2,authorization,Authorization / Referral,synthetic_rarc_style,189,24
"Claim requires manual review due to payer processing rules. Additional follow-up is required. (review batch B864) status: analyst review recommended. Other insurance information may be current, but payer sequencing should be checked. [review reference REF000369]",9,other,Other Administrative,synthetic_rarc_style,262,35
Denial reason: Other coverage information conflicts with payer records. Route to the responsible RCM workqueue. (claim ID CLM000386) [prebill reference REF000386],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,162,21
