text,label_id,label,display_name,source_type,text_length,word_count
PAYER RESPONSE: BENEFIT LIMITATIONS DO NOT ALLOW PAYMENT FOR THIS SERVICE; ADDITIONAL FOLLOW-UP IS REQUIRED; (claim ID CLM000213) action: confirm payer rule. [review reference REF000213],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,186,25
Claim review note: Coverage policy excludes the billed procedure. Route to the responsible RCM workqueue. (payer edit EDT-337) action: confirm payer rule. [audit reference REF000158],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,182,25
"COB records indicate another plan has payment responsibility. Correct and resubmit if appropriate. (claim line 4) workqueue: pre-bill review. Filing date appears within the normal workflow, but the payer response remains unresolved. [claim reference REF000148]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,260,35
Claim review note: Secondary payer cannot process without primary payer adjudication; Please review before resubmission; (payer edit EDT-910) status: analyst review recommended. [audit reference REF000314],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,205,25
Authorization was denied before claim submission. Correct and resubmit if appropriate. [review reference REF000287],2,authorization,Authorization / Referral,synthetic_rarc_style,115,14
Payer response: Claim lacks documentation required by payer policy. Correct and resubmit if appropriate. (encounter ENC52516) [case reference REF000549],8,documentation,Documentation,synthetic_rarc_style,152,19
"The HCPCS code requires a more specific billing modifier. Validate supporting information before appeal. (payer edit EDT-688) The service may be covered, but another denial condition should be reviewed. [review reference REF000325]",1,coding_error,Coding Error,synthetic_rarc_style,231,32
Payer response: Coverage terminated before the submitted service was performed. Please review before resubmission. status: analyst review recommended. [claim reference REF000217],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,178,21
Claim review note: Plan records show the subscriber was not eligible for benefits. Correct and resubmit if appropriate. (review batch B367) [review reference REF000093],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,168,24
"Payer response: Subscriber was not enrolled in the plan on the service date; Route to the responsible RCM workqueue; (DOS 2023-04-17) workqueue: pre-bill review. Medical necessity support may exist, but the claim needs final analyst review. [audit reference REF000185]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,268,39
"Remark: Corrected claim was submitted outside the allowed window. Correct and resubmit if appropriate. action: attach support if available. The service may be covered, but another denial condition should be reviewed. [audit reference REF000149]",5,timely_filing,Timely Filing,synthetic_rarc_style,244,34
Adjudication message: Member coverage was inactive on the date of service. Correct and resubmit if appropriate. (review batch B821) [audit reference REF000079],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,159,22
Adjudication message: Benefits must be coordinated with the patient's primary carrier. Please review before resubmission. (review batch B278) action: confirm payer rule. [case reference REF000173],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,196,25
Remark: Submitted information does not meet coverage determination criteria. Validate supporting information before appeal. (DOS 2023-06-03) [prebill reference REF000248],6,medical_necessity,Medical Necessity,synthetic_rarc_style,170,19
"Payer response: The code billed is not payable with the submitted modifier. workqueue: pre-bill review. Authorization details may be present, but the claim still needs validation. [audit reference REF000251]",1,coding_error,Coding Error,synthetic_rarc_style,207,29
Other coverage information conflicts with payer records. Additional follow-up is required. [claim reference REF000427],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,118,14
Crossover claim denied by previous carrier and complete claim data not forwarded. Resubmit this claim to this carrier to provide adequate data for adjudication.,7,coordination_of_benefits,Coordination of Benefits,official_rarc,160,24
"denial reason: claim contains inconsistent administrative information. validate supporting information before appeal. (claim line 11) workqueue: pre-bill review. The service may be covered, but another denial condition should be reviewed. [case reference REF000206]",9,other,Other Administrative,synthetic_rarc_style,265,33
clm REVIEW NOTE: MEDICARE SECONDARY PAYER INFORMATION IS REQUIRED. PLEASE REVIEW BEFORE RESUBMISSION. (encounter ENC19324) status: analyst review recommended. [audit reference REF000196],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,186,22
Medical code sets used must be the codes in effect at the time of encounter.,1,coding_error,Coding Error,official_rarc,76,15
"Medicare secondary payer information is required. Additional follow-up is required. (payer edit EDT-691) status: analyst review recommended. Authorization details may be present, but the claim still needs validation. [review reference REF000051]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,245,31
"Adjudication message: Coverage was suspended when the service was rendered. Route to the responsible RCM workqueue. (DOS 2023-09-14) Authorization details may be present, but the claim still needs validation. [case reference REF000033]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,235,32
Payer response: Procedure code is invalid for the submitted claim format. Route to the responsible RCM workqueue. action: verify before resubmission. [audit reference REF000433],1,coding_error,Coding Error,synthetic_rarc_style,177,24
Benefits must be coordinated with the subscriber's primary carrier. Route to the responsible RCM workqueue. [review reference REF000253],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,136,18
Payer response: Submission did not meet health plan processing requirements. Route to the responsible RCM workqueue. (review batch B514) [review reference REF000494],9,other,Other Administrative,synthetic_rarc_style,165,22
ADJUDICATION MESSAGE: CLAIM CONTAINS A CODE COMBINATION THAT REQUIRES CORRECTION. (review batch B407) action: confirm payer rule. [prebill reference REF000273],1,coding_error,Coding Error,synthetic_rarc_style,159,20
"Adjudication message: Other coverage information conflicts with Medicare contractor records. (payer edit EDT-180) Coding was reviewed, but payer edits may still require follow-up. [audit reference REF000224]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,207,26
Denial reason: Service is not covered under the patient's benefit plan; Please review before resubmission; (claim line 8) status: analyst review recommended. [audit reference REF000441],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,185,25
"Remark: Billing information could not be validated by insurer; Additional follow-up is required; (claim line 5) action: attach support if available. Other insurance information may be current, but payer sequencing should be checked. [prebill reference REF000350]",9,other,Other Administrative,synthetic_rarc_style,262,36
Remark: Diagnosis and documentation do not justify the service. Please review before resubmission. (DOS 2023-05-01) [claim reference REF000095],6,medical_necessity,Medical Necessity,synthetic_rarc_style,143,18
Claim review note: Referral was required before the service could be covered. (encounter ENC46639) action: confirm payer rule. [case reference REF000028],2,authorization,Authorization / Referral,synthetic_rarc_style,153,21
Adjudication message: Medical necessity review determined the service was not justified. Correct and resubmit if appropriate. (claim line 4) [claim reference REF000016],6,medical_necessity,Medical Necessity,synthetic_rarc_style,168,22
Submission exceeded the payer's filing limit; Route to the responsible RCM workqueue; (DOS 2023-05-20) action: verify before resubmission. [claim reference REF000112],5,timely_filing,Timely Filing,synthetic_rarc_style,166,21
"Remark: A matching claim has already been paid; Validate supporting information before appeal; (payer edit EDT-562) action: verify before resubmission. Authorization details may be present, but the claim still needs validation. [audit reference REF000281]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,255,34
Patient ineligible for this claim line.,0,eligibility,Eligibility / Coverage,official_rarc,39,6
Adjudication message: Claim line requires corrected coding before processing. Please review before resubmission. action: verify before resubmission. [audit reference REF000431],1,coding_error,Coding Error,synthetic_rarc_style,176,20
"Patient coverage was inactive on the date of service. Please review before resubmission. Coverage appears active, but another payer rule may still apply. [case reference REF000097]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,180,26
Claim review note: Payer records show this service was already adjudicated; Correct and resubmit if appropriate; status: analyst review recommended. [claim reference REF000100],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,176,23
Missing radiology report.,8,documentation,Documentation,official_rarc,25,3
The level of service is not supported by clinical information. Correct and resubmit if appropriate. [prebill reference REF000231],6,medical_necessity,Medical Necessity,synthetic_rarc_style,129,18
REMARK: BENEFITS MUST BE COORDINATED WITH THE PATIENT'S PRIMARY CARRIER; PLEASE REVIEW BEFORE RESUBMISSION; (review batch B732) [audit reference REF000252],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,155,20
claim review note: submitted cpt code is not valid for the provider specialty. validate supporting information before appeal. (encounter ENC65552) [review reference REF000150],1,coding_error,Coding Error,synthetic_rarc_style,175,23
"Remark: Prior authorization was required but not found. Additional follow-up is required. No duplicate was confirmed during intake, but adjudication notes still require review. [review reference REF000019]",2,authorization,Authorization / Referral,synthetic_rarc_style,205,27
Denial reason: Benefits must be coordinated with the patient's primary carrier. Validate supporting information before appeal. (review batch B334) [case reference REF000270],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,173,22
Not covered when performed during the same session/date as a previously processed procedure for the claimant.,3,duplicate_claim,Duplicate Claim,official_rarc,109,16
"Claim review note: Order, report, or supporting record is missing. Please review before resubmission. (encounter ENC67568) [review reference REF000253]",8,documentation,Documentation,synthetic_rarc_style,151,19
"Payer response: Benefit limitations do not allow payment for this service. (payer edit EDT-607) Medical necessity support may exist, but the claim needs final analyst review. [prebill reference REF000134]",4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,204,29
Denial reason: Clinical notes are insufficient to validate the service. Route to the responsible RCM workqueue. (review batch B521) action: route to denial prevention team. [review reference REF000626],8,documentation,Documentation,synthetic_rarc_style,201,28
"Payer response: Submission did not meet payer processing requirements. Validate supporting information before appeal. Filing date appears within the normal workflow, but the payer response remains unresolved. [audit reference REF000328]",9,other,Other Administrative,synthetic_rarc_style,236,30
"Denial reason: Clinical notes are insufficient to validate the encounter. Validate supporting information before appeal. Other insurance information may be current, but payer sequencing should be checked. [claim reference REF000092]",8,documentation,Documentation,synthetic_rarc_style,232,30
Denial reason: Medical records are required to support this claim. Route to the responsible RCM workqueue. (encounter ENC31960) [case reference REF000141],8,documentation,Documentation,synthetic_rarc_style,154,21
Remark: The service exceeded the authorized number of visits. Please review before resubmission. action: attach support if available. [audit reference REF000027],2,authorization,Authorization / Referral,synthetic_rarc_style,161,21
Remark: Clinical notes are insufficient to validate the service. Validate supporting information before appeal. status: analyst review recommended. [audit reference REF000430],8,documentation,Documentation,synthetic_rarc_style,175,21
Claim review note: Corrected claim was submitted outside the allowed window. Additional follow-up is required. (DOS 2023-07-10) status: analyst review recommended. [prebill reference REF000024],5,timely_filing,Timely Filing,synthetic_rarc_style,193,24
REMARK: CLAIM CONTAINS INCONSISTENT ADMINISTRATIVE INFORMATION. ADDITIONAL FOLLOW-UP IS REQUIRED. (claim ID CLM000370) status: analyst review recommended. [prebill reference REF000370],9,other,Other Administrative,synthetic_rarc_style,184,20
remark: administrative issue prevented claim adjudication. additional follow-up is required. (review batch B598) action: verify before resubmission. [audit reference REF000063],9,other,Other Administrative,synthetic_rarc_style,176,20
Claim review note: Insurer requested additional review before final adjudication. Route to the responsible RCM workqueue. (claim line 1) [review reference REF000400],9,other,Other Administrative,synthetic_rarc_style,165,22
Payer response: Referral was required before the service could be covered. (claim line 4) action: attach support if available. [case reference REF000182],2,authorization,Authorization / Referral,synthetic_rarc_style,153,22
Procedure code is invalid for the submitted claim format. Correct and resubmit if appropriate. action: route to denial prevention team. [prebill reference REF000214],1,coding_error,Coding Error,synthetic_rarc_style,165,23
Payer response: Additional documentation is needed before claim review can continue. Validate supporting information before appeal. (encounter ENC68776) [audit reference REF000336],8,documentation,Documentation,synthetic_rarc_style,180,21
Medical necessity review determined the service was not justified. Correct and resubmit if appropriate. (claim ID CLM000164) [review reference REF000164],6,medical_necessity,Medical Necessity,synthetic_rarc_style,153,20
"Remark: Referral information is missing or incomplete. Correct and resubmit if appropriate. (DOS 2023-09-26) status: analyst review recommended. Coverage appears active, but another payer rule may still apply. [prebill reference REF000294]",2,authorization,Authorization / Referral,synthetic_rarc_style,239,31
"Denial reason: Procedure and diagnosis coding are inconsistent. Route to the responsible RCM workqueue. (claim ID CLM000193) action: confirm payer rule. Eligibility was checked separately, but the line still needs review. [audit reference REF000193]",1,coding_error,Coding Error,synthetic_rarc_style,249,34
Payer response: Clinical notes are insufficient to validate the treatment. Validate supporting information before appeal. (DOS 2023-09-19) [case reference REF000818],8,documentation,Documentation,synthetic_rarc_style,165,20
"Payer response: Other coverage information conflicts with Medicare contractor records. Validate supporting information before appeal. (review batch B424) status: analyst review recommended. Filing date appears within the normal workflow, but the payer response remains unresolved. [claim reference REF000192]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,308,38
"Payer response: This claim appears to duplicate a previously submitted claim. Route to the responsible RCM workqueue. (review batch B444) action: confirm payer rule. Other insurance information may be current, but payer sequencing should be checked. [review reference REF000253]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,278,39
Remark: Submitted documentation is incomplete for the billed encounter. Route to the responsible RCM workqueue. (payer edit EDT-581) [audit reference REF000677],8,documentation,Documentation,synthetic_rarc_style,160,21
"Denial reason: Order, report, or supporting record is missing. Correct and resubmit if appropriate. (clm ID CLM000692) action: confirm payer rule. Eligibility was checked separately, but the line still needs review. [audit reference REF000692]",8,documentation,Documentation,synthetic_rarc_style,243,34
"Remark: Modifier is missing or inconsistent with the billed service; Validate supporting information before appeal; (claim line 9) action: confirm payer rule. The service may be covered, but another denial condition should be reviewed. [review reference REF000160]",1,coding_error,Coding Error,synthetic_rarc_style,264,37
"Claim review note: Referral information is missing or incomplete; Additional follow-up is required; (DOS 2023-01-01) The service may be covered, but another denial condition should be reviewed. [claim reference REF000164]",2,authorization,Authorization / Referral,synthetic_rarc_style,221,30
Claim review note: Diagnosis submitted does not meet payer medical necessity criteria. [review reference REF000271],6,medical_necessity,Medical Necessity,synthetic_rarc_style,115,15
"Payer response: Claim requires updated other-insurance information. Additional follow-up is required. (claim line 11) workqueue: pre-bill review. Coverage appears active, but another payer rule may still apply. [claim reference REF000242]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,238,30
Payer requested records were not received. Validate supporting information before appeal. (payer edit EDT-889) action: verify before resubmission. [case reference REF000200],8,documentation,Documentation,synthetic_rarc_style,173,21
Missing progress notes/report.,8,documentation,Documentation,official_rarc,30,3
Adjudication message: Claim lacks documentation required by payer policy. Please review before resubmission. (payer edit EDT-869) [claim reference REF000334],8,documentation,Documentation,synthetic_rarc_style,157,19
Payer response: Documentation does not support the billed procedure details; Route to the responsible RCM workqueue; (DOS 2023-10-03) action: route to denial prevention team. [claim reference REF000119],8,documentation,Documentation,synthetic_rarc_style,202,27
"Adjudication message: clm requires manual review due to payer processing rules. (encounter ENC10806) Other insurance information may be current, but payer sequencing should be checked. [case reference REF000393]",9,other,Other Administrative,synthetic_rarc_style,211,28
Denial reason: Claim was received after the timely filing deadline. Validate supporting information before appeal. (payer edit EDT-671) action: route to denial prevention team. [review reference REF000144],5,timely_filing,Timely Filing,synthetic_rarc_style,205,27
"Clinical notes are insufficient to validate the claim line. Validate supporting information before appeal. (encounter ENC23686) action: confirm payer rule. The service may be covered, but another denial condition should be reviewed. [audit reference REF000209]",8,documentation,Documentation,synthetic_rarc_style,260,35
"Adjudication message: Payer requested additional review before final adjudication. Additional follow-up is required. (claim ID CLM000178) action: confirm payer rule. The service may be covered, but another denial condition should be reviewed. [audit reference REF000178]",9,other,Other Administrative,synthetic_rarc_style,270,35
Billing information could not be validated by payer. Additional follow-up is required. (claim ID CLM000207) workqueue: pre-bill review. [prebill reference REF000207],9,other,Other Administrative,synthetic_rarc_style,165,21
"Adjudication message: The HCPCS code requires a more specific billing modifier. Please review before resubmission. (review batch B536) Coding was reviewed, but payer edits may still require follow-up. [review reference REF000106]",1,coding_error,Coding Error,synthetic_rarc_style,229,31
Remark: COB records indicate another plan has payment responsibility. Validate supporting information before appeal. (DOS 2023-02-28) status: analyst review recommended. [prebill reference REF000213],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,199,23
Provider enrollment or billing status requires review. Additional follow-up is required. (review batch B229) [audit reference REF000258],9,other,Other Administrative,synthetic_rarc_style,136,17
"adjudication message: another payer is primary and must process the claim first. route to the responsible rcm workqueue. Coverage appears active, but another payer rule may still apply. [audit reference REF000283]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,213,31
Claim review note: Claim requires manual review due to payer processing rules. Route to the responsible RCM workqueue. (payer edit EDT-144) action: confirm payer rule. [prebill reference REF000520],9,other,Other Administrative,synthetic_rarc_style,197,28
Payer response: Referral information is missing or incomplete. Route to the responsible RCM workqueue. (review batch B628) [review reference REF000073],2,authorization,Authorization / Referral,synthetic_rarc_style,151,20
Remark: Coordination of benefits information is missing or outdated. Please review before resubmission. (DOS 2023-08-16) [prebill reference REF000363],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,150,18
Payer response: Required attachment was not included with the claim. Correct and resubmit if appropriate. workqueue: pre-bill review. [review reference REF000489],8,documentation,Documentation,synthetic_rarc_style,162,21
Adjudication message: Insurer policy identifies the service as investigational or excluded. (review batch B887) status: analyst review recommended. [review reference REF000131],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,176,21
"Payer records do not show auth for this claim. Correct and resubmit if appropriate. (claim line 6) action: verify before resubmission. Coverage appears active, but another payer rule may still apply. [case reference REF000248]",2,authorization,Authorization / Referral,synthetic_rarc_style,226,34
"Payer response: Claim line is not covered under the patient's benefit plan. Validate supporting information before appeal. (claim line 12) Authorization details may be present, but the claim still needs validation. [claim reference REF000240]",4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,242,34
DENIAL REASON: COB RECORDS INDICATE ANOTHER PLAN HAS PAYMENT RESPONSIBILITY. PLEASE REVIEW BEFORE RESUBMISSION. (payer edit EDT-798) [claim reference REF000370],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,160,20
"Claim denied because the benefit category does not cover this service. (payer edit EDT-874) action: attach support if available. Filing date appears within the normal workflow, but the payer response remains unresolved. [case reference REF000161]",4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,246,35
"Adjudication message: Authorization number is invalid for this service; Additional follow-up is required; Eligibility was checked separately, but the line still needs review. [audit reference REF000299]",2,authorization,Authorization / Referral,synthetic_rarc_style,202,26
"Benefits must be coordinated with the patient's primary carrier; (clm ID CLM000175) No duplicate was confirmed during intake, but adjudication notes still require review. [prebill reference REF000175]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,200,27
Denial reason: Other coverage information conflicts with health plan records. (encounter ENC78089) action: confirm payer rule. [claim reference REF000327],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,154,19
Adjudication message: The HCPCS code requires a more specific billing modifier; Please review before resubmission; action: route to denial prevention team. [audit reference REF000306],1,coding_error,Coding Error,synthetic_rarc_style,183,24
"Payer response: Payer records do not show authorization for this claim; Please review before resubmission; (claim line 8) action: confirm payer rule. Eligibility was checked separately, but the line still needs review. [prebill reference REF000167]",2,authorization,Authorization / Referral,synthetic_rarc_style,248,35
Additional documentation is needed before claim review can continue. Route to the responsible RCM workqueue. (claim line 8) action: verify before resubmission. [review reference REF000661],8,documentation,Documentation,synthetic_rarc_style,188,25
"Payer response: Payer requested records were not received. Additional follow-up is required. Other insurance information may be current, but payer sequencing should be checked. [claim reference REF000407]",8,documentation,Documentation,synthetic_rarc_style,204,27
remark: coverage policy excludes the billed procedure. additional follow-up is required. [audit reference REF000344],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,116,14
Claim line denied because payment already made for same/similar procedure within set time frame.,3,duplicate_claim,Duplicate Claim,official_rarc,96,14
You have not responded to requests to revalidate your provider/supplier enrollment information.,9,other,Other Administrative,official_rarc,95,12
Original claim closed due to changes in submitted data. Adjustment claim will be processed under a new claim number.,9,other,Other Administrative,official_rarc,116,19
Not paid separately when the beneficiary is an inpatient.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,57,9
"Records indicate this subscriber was a prisoner or in custody of a Federal, State, or local authority when the service was rendered. This payer does not cover items and services furnished to an individual while he or she is in custody under a penal statute or rule, unless under State or local law, the individual is personally liable for the cost of his or her health care while in custody and the State or local government pursues the collection of such debt in the same way and with the same vigor as the collection of its other debts. The provider can collect from the Federal/State/ Local Authority as appropriate.",0,eligibility,Eligibility / Coverage,official_rarc,619,109
Payer response: Required attachment was not included with the claim. Please review before resubmission. (DOS 2023-12-16) [audit reference REF000001],8,documentation,Documentation,synthetic_rarc_style,148,19
Adjudication message: Medical records are required to support this claim. Please review before resubmission. action: verify before resubmission. [review reference REF000844],8,documentation,Documentation,synthetic_rarc_style,173,21
"Denial reason: Duplicate submission identified for provider, member, and date. Additional follow-up is required. (review batch B646) action: confirm payer rule. [audit reference REF000246]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,188,24
Payer response: Additional documentation is needed before claim review can continue. Validate supporting information before appeal. action: route to denial prevention team. [review reference REF000542],8,documentation,Documentation,synthetic_rarc_style,201,25
Payer response: A matching claim has already been paid. Correct and resubmit if appropriate. [claim reference REF000177],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,120,17
